r0_learner_name,bias_func,bias_scale,n_real,n_expanded,r_expanded,coverage,avg_me
neural_net_128x128_1500_64,NNBias2,10,100,10000,0.001,0.22988,220.79260200681597
neural_net_128x128_1500_64,NNBias1,0,1000,10000,0.001,0.3731,0.11655187810586078
neural_net_128x128_1500_64,NNBias1,1,1000,10000,0.1,0.14246,2.598970455649762
neural_net_128x128_1500_64,NNBias1,0,1000,10000,0.01,0.37358,0.11671048875881387
neural_net_128x128_1500_64,NNBias1,1,1000,10000,0.01,0.1424,2.5982429734487678
neural_net_128x128_1500_64,NNBias1,0,1000,10000,0.1,0.4047,0.1314501729420117
neural_net_128x128_1500_64,NNBias1,10,1000,10000,0.001,0.15096,25.95888341386648
neural_net_128x128_1500_64,NNBias2,0,1000,10000,0.01,0.37358,0.11671048875881387
neural_net_128x128_1500_64,NNBias2,0,1000,10000,0.1,0.4047,0.1314501729420117
neural_net_128x128_1500_64,NNBias1,1,1000,10000,0.001,0.14236,2.5982356972703493
neural_net_128x128_1500_64,NNBias1,10,1000,10000,0.1,0.15096,25.95895697989131
neural_net_128x128_1500_64,NNBias2,0,1000,10000,0.001,0.3731,0.11655187810586078
neural_net_128x128_1500_64,NNBias1,10,1000,10000,0.01,0.15096,25.958884142244315
neural_net_128x128_1500_64,NNBias2,10,100,10000,0.01,0.22988,220.79260209931476
neural_net_128x128_1500_64,NNBias2,10,100,10000,0.1,0.2299,220.79261134919597
neural_net_128x128_1500_64,NNBias2,1,1000,10000,0.001,0.08042,7.041738744991059
neural_net_128x128_1500_64,NNBias2,1,1000,10000,0.01,0.08042,7.041741627412313
neural_net_128x128_1500_64,NNBias2,1,1000,10000,0.1,0.08042,7.042029858728448
neural_net_128x128_1500_64,NNBias2,10,1000,10000,0.01,0.08036,70.40501155046961
neural_net_128x128_1500_64,NNBias2,10,1000,10000,0.001,0.08034,70.40501126215939
neural_net_128x128_1500_64,NNBias2,10,1000,10000,0.1,0.08036,70.40504038148275
random_forest,NNBias1,0,100,1000,0.01,0.29294,35.388619964316604
random_forest,NNBias1,0,100,1000,0.001,0.29194,35.38848635524662
random_forest,NNBias1,0,100,1000,0.1,0.29296,35.38978394886879
random_forest,NNBias1,0,1000,1000,0.001,0.07526,11.299342117526933
random_forest,NNBias1,0,100,10000,0.001,0.2919,35.388474978338955
random_forest,NNBias1,0,100,10000,0.01,0.29296,35.38848835631176
random_forest,NNBias1,0,100,10000,0.1,0.2931,35.388604804129876
random_forest,NNBias1,0,1000,1000,0.01,0.07646,11.29975832869259
random_forest,NNBias1,0,1000,1000,0.1,0.07552,11.3033821627434
random_forest,NNBias1,1,1000,1000,0.01,0.08592,11.568836866638627
random_forest,NNBias1,0,1000,10000,0.001,0.07526,11.299306743791869
random_forest,NNBias1,1,100,1000,0.1,0.2807,36.23230628800085
random_forest,NNBias1,1,100,1000,0.001,0.28576,36.23104103409244
random_forest,NNBias1,1,100,1000,0.01,0.28678,36.23117198330263
random_forest,NNBias1,0,1000,10000,0.1,0.07542,11.299711023316856
random_forest,NNBias1,1,1000,1000,0.001,0.08644,11.568428804849587
random_forest,NNBias1,1,1000,1000,0.1,0.09026,11.572368470827046
random_forest,NNBias1,10,100,1000,0.001,0.36622,88.62476724513344
random_forest,NNBias1,1,100,10000,0.01,0.28682,36.23104329372602
random_forest,NNBias1,1,100,10000,0.1,0.28064,36.23115677109039
random_forest,NNBias1,1,100,10000,0.001,0.28578,36.23103018186304
random_forest,NNBias1,0,1000,10000,0.01,0.07654,11.299348421245574
